nombre_comun,vegetacion,edad,emplazamiento,pap,DAP,altura_arbol,diametro_copa,tallos,raiz,raiz_expuesta,copa,densidad_copa,vitalidad
"Chambimbe, Jaboncillo",Arbol,Juvenil,Rondas de canales,"0,47","0,15",7,6,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Chambimbe, Jaboncillo",Arbol,Maduro,Rondas de canales,"0,5","0,16",8,6,1,Subterranea,Si,Irregular,Medio (34 - 66%),Regular
"Chambimbe, Jaboncillo",Arbol,Maduro,Rondas de canales,"0,46","0,15",8,7,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Chambimbe, Jaboncillo",Arbol,Maduro,Rondas de canales,"0,44","0,14","8,5",6,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Guacimo,Arbol,Longevo,Rondas de canales,"2,8","0,89","12,5",10,1,Subterranea,No,Globosa,Medio (34 - 66%),Regular
Guacimo,Arbol,Juvenil,Rondas de canales,"0,21","0,07","6,5",2,1,Subterranea,No,Irregular,Bajo (0 - 33%),Regular
Guacimo,Arbol,Juvenil,Rondas de canales,0,"0,1",8,5,2,Subterranea,No,Irregular,Bajo (0 - 33%),Regular
Guacimo,Arbol,Maduro,Rondas de canales,0,"0,14",12,10,5,Subterranea,No,Globosa,Medio (34 - 66%),Regular
Chiminango,Arbol,Maduro,Escenario depor/cult,"0,74","0,24","11,5",7,1,Subterranea,No,Irregular,Bajo (0 - 33%),Regular
"Chambimbe, Jaboncillo",Arbol,Longevo,Rondas de canales,0,"0,34",13,20,3,Subterranea,Si,Aparasolada,Alto (67 - 100%),Regular
"Chambimbe, Jaboncillo",Arbol,Maduro,Rondas de canales,"0,55","0,18","7,5",6,1,Subterranea,No,Irregular,Bajo (0 - 33%),Regular
"Aguacatillo, Laurel aguacatillo",Arbol,Maduro,Rondas de canales,"0,97","0,31","6,5",8,1,Subterranea,Si,Aparasolada,Alto (67 - 100%),Regular
Guacimo,Arbol,Longevo,Rondas de canales,"4,1","1,31",13,11,1,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
Guacimo,Arbol,Juvenil,Rondas de canales,0,"0,12",7,"3,5",2,Subterranea,No,Irregular,Bajo (0 - 33%),Regular
Guacimo,Arbol,Maduro,Escenario depor/cult,0,"0,18",8,10,2,Subterranea,No,Irregular,Bajo (0 - 33%),Regular
Mandarina,Arbusto,Maduro,Escenario depor/cult,0,"0,11",5,"8,5",6,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
Leche de perra,Arbol,Maduro,Escenario depor/cult,0,"0,11","4,3",6,2,Subterranea,No,Globosa,Alto (67 - 100%),Regular
Guacimo,Arbol,Longevo,Escenario depor/cult,0,"0,36","12,5",10,4,Subterranea,No,Globosa,Alto (67 - 100%),Regular
Tachuelo,Arbol,Juvenil,Escenario depor/cult,"0,14","0,04",7,"2,5",1,Subterranea,No,Irregular,Bajo (0 - 33%),Regular
Cedro macho,Arbol,Maduro,Escenario depor/cult,"0,42","0,13","8,5","4,5",1,Subterranea,No,Globosa,Medio (34 - 66%),Sano
Chiminango,Arbol,Maduro,Escenario depor/cult,0,"0,13",7,11,2,Subterranea,No,Irregular,Bajo (0 - 33%),Seco
Guacimo,Arbol,Longevo,Escenario depor/cult,0,"0,25",14,13,3,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
Cedro macho,Arbol,Maduro,Escenario depor/cult,"0,72","0,23",12,8,1,Subterranea,No,Globosa,Alto (67 - 100%),Regular
Chiminango,Arbol,Maduro,Escenario depor/cult,"0,34","0,11",9,8,1,Subterranea,No,Irregular,Bajo (0 - 33%),Regular
"Balso, Balsa, Balso negro, Balso tambor",Arbol,Longevo,Escenario depor/cult,"2,45","0,78",14,"21,5",1,Subterranea,No,Aparasolada,Bajo (0 - 33%),Regular
Cedro macho,Arbol,Maduro,Escenario depor/cult,0,"0,28",10,9,2,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Chiminango,Arbol,Maduro,Escenario depor/cult,0,"0,14","4,5",5,2,Subterranea,No,Irregular,Bajo (0 - 33%),Regular
Guacimo,Arbol,Maduro,Escenario depor/cult,"1,43","0,46",12,9,1,Subterranea,No,Globosa,Medio (34 - 66%),Regular
Guacimo,Arbol,Maduro,Escenario depor/cult,"1,5","0,48",12,11,1,Subterranea,No,Globosa,Medio (34 - 66%),Regular
Guacimo,Arbol,Maduro,Escenario depor/cult,"1,3","0,41",12,10,1,Subterranea,No,Globosa,Medio (34 - 66%),Regular
Guacimo,Arbol,Maduro,Escenario depor/cult,0,"0,28",11,9,3,Subterranea,No,Globosa,Medio (34 - 66%),Regular
Chiminango,Arbol,Maduro,Escenario depor/cult,0,"0,12",9,7,2,Subterranea,No,Irregular,Bajo (0 - 33%),Regular
Guacimo,Arbol,Maduro,Escenario depor/cult,0,"0,16","11,5",8,10,Subterranea,No,Globosa,Medio (34 - 66%),Regular
Mandarina,Arbusto,Maduro,Escenario depor/cult,"0,3","0,1","5,5","6,5",1,Subterranea,No,Globosa,Alto (67 - 100%),Regular
Guacimo,Arbol,Longevo,Escenario depor/cult,0,"0,51","12,5",20,2,Subterranea,No,Globosa,Alto (67 - 100%),Regular
Guacimo,Arbol,Maduro,Escenario depor/cult,0,"0,18","11,5",9,5,Subterranea,No,Globosa,Medio (34 - 66%),Regular
Palma licuala,Palma,Juvenil,Escenario depor/cult,"0,24","0,08","3,2",3,1,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
Mamoncillo,Arbol,Maduro,Escenario depor/cult,0,"0,13","8,5",6,2,Subterranea,No,Globosa,Alto (67 - 100%),Regular
"Saman, Genizaro",Arbol,Longevo,Escenario depor/cult,"4,1","1,31",13,27,1,Subterranea,No,Aparasolada,Bajo (0 - 33%),Regular
Guayabo,Arbusto,Maduro,Escenario depor/cult,0,"0,11","5,5",7,2,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Guacimo,Arbol,Maduro,Escenario depor/cult,0,"0,34",13,10,3,Subterranea,No,Globosa,Medio (34 - 66%),Regular
Guacimo,Arbol,Longevo,Escenario depor/cult,"2,31","0,74",13,15,1,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
Anon,Arbol,Maduro,Escenario depor/cult,"0,4","0,13","7,3",4,1,Subterranea,No,Irregular,Bajo (0 - 33%),Regular
"Sauce Costeno, Bohio",Arbol,Maduro,Escenario depor/cult,"0,72","0,23","8,5",6,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Sauce Costeno, Bohio",Arbol,Maduro,Escenario depor/cult,"0,7","0,22",8,7,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Guanabano,Arbol,Maduro,Escenario depor/cult,"0,68","0,22",7,8,1,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
Acacia robinia,Arbol,Maduro,Escenario depor/cult,"0,75","0,24",13,5,1,Subterranea,No,Globosa,Alto (67 - 100%),Regular
Acacia robinia,Arbol,Maduro,Escenario depor/cult,"0,41","0,13",10,6,1,Subterranea,No,Aparasolada,Alto (67 - 100%),Sano
Acacia robinia,Arbol,Maduro,Escenario depor/cult,"1,28","0,41",13,10,1,Subterranea,No,Globosa,Alto (67 - 100%),Regular
Guanabano,Arbol,Maduro,Escenario depor/cult,"0,28","0,09","7,5",6,1,Subterranea,No,Irregular,Bajo (0 - 33%),Regular
Guacimo,Arbol,Maduro,Escenario depor/cult,"0,64","0,2",10,6,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Guacimo,Arbol,Maduro,Escenario depor/cult,"0,74","0,24",11,9,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Guamo rabo de mico, Guamo churimo",Arbol,Maduro,Escenario depor/cult,"0,59","0,19",10,8,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Mango,Arbol,Maduro,Escenario depor/cult,0,"0,25",9,11,3,Subterranea,No,Globosa,Bajo (0 - 33%),Regular
"Aguacatillo, Laurel aguacatillo",Arbol,Longevo,Escenario depor/cult,"1,13","0,36",12,9,1,Subterranea,No,Globosa,Alto (67 - 100%),Regular
Mango,Arbol,Longevo,Escenario depor/cult,0,"0,43","8,5",9,2,Subterranea,No,Globosa,Bajo (0 - 33%),Regular
Francesina,Arbusto,Maduro,Escenario depor/cult,0,"0,09","3,5",3,3,Subterranea,No,Globosa,Alto (67 - 100%),Regular
Leucaena,Arbol,Maduro,Escenario depor/cult,"0,31","0,1",7,2,1,Subterranea,No,Columnar,Medio (34 - 66%),Regular
"Arbol de la cruz, Ariza",Arbusto,Maduro,Escenario depor/cult,0,"0,09",5,5,2,Subterranea,No,Irregular,Alto (67 - 100%),Regular
Mango,Arbol,Longevo,Escenario depor/cult,"1,4","0,45",8,10,1,Subterranea,Si,Globosa,Bajo (0 - 33%),Regular
Mandarina,Arbusto,Maduro,Escenario depor/cult,"0,42","0,13",5,"4,5",1,Subterranea,No,Globosa,Alto (67 - 100%),Regular
Acacia robinia,Arbol,Juvenil,Escenario depor/cult,"0,16","0,05","4,8","2,7",1,Subterranea,No,Globosa,Alto (67 - 100%),Sano
Carambolo,Arbol,Maduro,Escenario depor/cult,0,"0,06",6,"2,7",3,Subterranea,No,Globosa,Medio (34 - 66%),Sano
Zapote,Arbol,Maduro,Escenario depor/cult,"0,25","0,08","5,5",3,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Anon,Arbol,Maduro,Escenario depor/cult,"0,3","0,1","7,5",6,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Pitanga, Cereza de cayena, Uvo",Arbusto,Maduro,Escenario depor/cult,0,"0,11","5,8","3,6",2,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Guayacan rosado,Arbol,Maduro,Escenario depor/cult,"0,59","0,19",9,4,1,Subterranea,Si,Irregular,Bajo (0 - 33%),Regular
"Dracaena, Cancion de la India",Planta arbustiva,Maduro,Escenario depor/cult,0,"0,04","3,1","1,3",5,Subterranea,No,Columnar,Alto (67 - 100%),Regular
Dracaena roja,Planta arbustiva,Maduro,Escenario depor/cult,"0,16","0,05","5,4","0,7",1,Subterranea,No,Columnar,Alto (67 - 100%),Regular
Mango,Arbol,Maduro,Escenario depor/cult,"0,43","0,14","6,3",4,1,Subterranea,No,Globosa,Bajo (0 - 33%),Regular
Carambolo,Arbol,Maduro,Escenario depor/cult,"0,23","0,07",4,"3,5",1,Subterranea,No,Globosa,Bajo (0 - 33%),Regular
Acacia robinia,Arbol,Maduro,Escenario depor/cult,0,"0,19",13,11,4,Subterranea,No,Globosa,Alto (67 - 100%),Sano
